BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2023-03-10,КрасОкт-ао,KROT,659.0,19585940.0,1835.5,1750.0,1835.5,1778.0,1771.0,1778.0,11060.0,1771.0,1771.0,,19585940.0,19585940.0,,0.0,3
TQBR,2023-03-10,КрасОкт-1п,KROTP,387.0,5638050.0,816.5,750.0,823.0,803.0,798.5,803.0,7060.0,798.5,798.5,,5638050.0,5638050.0,,0.0,3
TQBR,2023-03-10,Красэсб ао,KRSB,198.0,1226996.0,10.08,9.6,10.4,9.98,9.94,9.98,123400.0,9.94,9.94,,1226996.0,1226996.0,,0.0,3
SMAL,2023-03-10,Красэсб ап,KRSBP,1.0,344.88,9.58,9.58,9.58,,9.8,9.58,36.0,,,,0.0,0.0,,0.0,3
TQBR,2023-03-10,Красэсб ап,KRSBP,41.0,246986.0,9.74,9.74,9.86,9.84,9.8,9.84,25200.0,,9.82,,0.0,500416.0,,0.0,3
TQBR,2023-03-10,КСБ ао,KTSB,140.0,371134.0,0.714,0.714,0.75,0.726,0.734,0.726,505000.0,,0.73,,0.0,518692.0,,0.0,3
TQBR,2023-03-10,КСБ ап,KTSBP,133.0,782205.0,0.297,0.293,0.3095,0.295,0.301,0.295,2600000.0,0.301,0.301,,782205.0,782205.0,,0.0,3
TQBR,2023-03-10,РСетКубань,KUBE,78.0,426115.0,92.4,90.0,92.8,90.4,91.4,90.4,4660.0,,91.6,,0.0,539779.0,,0.0,3
TQBR,2023-03-10,КузнецкийБ,KUZB,509.0,3665043.1,0.0306,0.02978,0.03093,0.03024,0.03041,0.03024,120540000.0,0.03041,0.03041,,3665043.1,3665043.1,,0.0,3
SMAL,2023-03-10,ОргСинт ао,KZOS,1.0,121.3,121.3,121.3,121.3,,96.2,121.3,1.0,,,,0.0,0.0,,0.0,3
TQBR,2023-03-10,ОргСинт ао,KZOS,969.0,13111026.0,97.0,95.0,97.2,96.0,96.2,96.0,136290.0,96.2,96.2,,13111026.0,13111026.0,,0.0,3
TQBR,2023-03-10,ОргСинт ап,KZOSP,6721.0,92699724.9,30.18,30.0,30.76,30.05,30.36,30.05,3052970.0,30.36,30.36,,92699724.9,92699724.9,,0.0,3
TQBR,2023-03-10,Лента ао,LENT,1401.0,10404099.5,725.0,710.5,725.0,716.0,716.0,716.0,14527.0,716.0,716.0,,10404099.5,10404099.5,,0.0,3
TQBR,2023-03-10,iФармсинтз,LIFE,2878.0,46506589.0,6.765,6.67,6.785,6.73,6.73,6.73,6907800.0,6.73,6.73,,46506589.0,46506589.0,,0.0,3
TQBR,2023-03-10,ЛУКОЙЛ,LKOH,27699.0,1682036033.5,4088.0,4035.0,4111.0,4079.5,4085.0,4085.0,411767.0,4085.0,4085.0,,1540526857.0,1540526857.0,,0.0,3
TQBR,2023-03-10,Лензолото,LNZL,3175.0,135677760.0,16410.0,16410.0,17460.0,16700.0,16880.0,16700.0,8037.0,16880.0,16880.0,,135677760.0,135677760.0,,0.0,3
TQBR,2023-03-10,Лензол. ап,LNZLP,13568.0,290300820.0,2820.0,2770.0,3005.0,2890.0,2910.0,2890.0,99841.0,2910.0,2910.0,,290300820.0,290300820.0,,0.0,3
TQBR,2023-03-10,ЛЭСК ао,LPSB,272.0,1503830.0,12.1,11.85,12.25,12.25,12.05,12.25,124800.0,12.05,12.05,,1503830.0,1503830.0,,0.0,3
